# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
יד איתן על משנה תורה, הלכות מעשה הקרבנות	yad-eitan-on-mishneh-torah/sacrificial-procedure	יד איתן על משנה תורה, הלכות מעשה הקרבנות	Yad Eitan on Mishneh Torah, Sacrificial Procedure
יד איתן על משנה תורה, הלכות מעשר שני ונטע רבעי	yad-eitan-on-mishneh-torah/second-tithes-and-fourth-years-fruit	יד איתן על משנה תורה, הלכות מעשר שני ונטע רבעי	Yad Eitan on Mishneh Torah, Second Tithes and Fourth Year's Fruit
יד איתן על משנה תורה, הלכות מעשרות	yad-eitan-on-mishneh-torah/tithes	יד איתן על משנה תורה, הלכות מעשרות	Yad Eitan on Mishneh Torah, Tithes
יד איתן על משנה תורה, הלכות מקואות	yad-eitan-on-mishneh-torah/immersion-pools	יד איתן על משנה תורה, הלכות מקואות	Yad Eitan on Mishneh Torah, Immersion Pools
יד איתן על משנה תורה, הלכות מתנות עניים	yad-eitan-on-mishneh-torah/gifts-to-the-poor	יד איתן על משנה תורה, הלכות מתנות עניים	Yad Eitan on Mishneh Torah, Gifts to the Poor
יד איתן על משנה תורה, הלכות נדרים	yad-eitan-on-mishneh-torah/vows	יד איתן על משנה תורה, הלכות נדרים	Yad Eitan on Mishneh Torah, Vows
יד איתן על משנה תורה, הלכות נזירות	yad-eitan-on-mishneh-torah/nazariteship	יד איתן על משנה תורה, הלכות נזירות	Yad Eitan on Mishneh Torah, Nazariteship
יד איתן על משנה תורה, הלכות נזקי ממון	yad-eitan-on-mishneh-torah/damages-to-property	יד איתן על משנה תורה, הלכות נזקי ממון	Yad Eitan on Mishneh Torah, Damages to Property
יד איתן על משנה תורה, הלכות סוטה	yad-eitan-on-mishneh-torah/woman-suspected-of-infidelity	יד איתן על משנה תורה, הלכות סוטה	Yad Eitan on Mishneh Torah, Woman Suspected of Infidelity
יד איתן על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	yad-eitan-on-mishneh-torah/the-sanhedrin-and-the-penalties-within-their-jurisdiction	יד איתן על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	Yad Eitan on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction
יד איתן על משנה תורה, הלכות עבדים	yad-eitan-on-mishneh-torah/slaves	יד איתן על משנה תורה, הלכות עבדים	Yad Eitan on Mishneh Torah, Slaves
יד איתן על משנה תורה, הלכות עבודה זרה וחוקות הגויים	yad-eitan-on-mishneh-torah/foreign-worship-and-customs-of-the-nations	יד איתן על משנה תורה, הלכות עבודה זרה וחוקות הגויים	Yad Eitan on Mishneh Torah, Foreign Worship and Customs of the Nations
יד איתן על משנה תורה, הלכות עבודת יום הכפורים	yad-eitan-on-mishneh-torah/service-on-the-day-of-atonement	יד איתן על משנה תורה, הלכות עבודת יום הכפורים	Yad Eitan on Mishneh Torah, Service on the Day of Atonement
יד איתן על משנה תורה, הלכות עדות	yad-eitan-on-mishneh-torah/testimony	יד איתן על משנה תורה, הלכות עדות	Yad Eitan on Mishneh Torah, Testimony
יד איתן על משנה תורה, הלכות עירובין	yad-eitan-on-mishneh-torah/eruvin	יד איתן על משנה תורה, הלכות עירובין	Yad Eitan on Mishneh Torah, Eruvin
יד איתן על משנה תורה, הלכות ערכים וחרמין	yad-eitan-on-mishneh-torah/appraisals-and-devoted-property	יד איתן על משנה תורה, הלכות ערכים וחרמין	Yad Eitan on Mishneh Torah, Appraisals and Devoted Property
יד איתן על משנה תורה, הלכות פסולי המוקדשין	yad-eitan-on-mishneh-torah/sacrifices-rendered-unfit	יד איתן על משנה תורה, הלכות פסולי המוקדשין	Yad Eitan on Mishneh Torah, Sacrifices Rendered Unfit
יד איתן על משנה תורה, הלכות פרה אדומה	yad-eitan-on-mishneh-torah/red-heifer	יד איתן על משנה תורה, הלכות פרה אדומה	Yad Eitan on Mishneh Torah, Red Heifer
יד איתן על משנה תורה, הלכות ציצית	yad-eitan-on-mishneh-torah/fringes	יד איתן על משנה תורה, הלכות ציצית	Yad Eitan on Mishneh Torah, Fringes
יד איתן על משנה תורה, הלכות קידוש החודש	yad-eitan-on-mishneh-torah/sanctification-of-the-new-month	יד איתן על משנה תורה, הלכות קידוש החודש	Yad Eitan on Mishneh Torah, Sanctification of the New Month
יד איתן על משנה תורה, הלכות קרבן פסח	yad-eitan-on-mishneh-torah/paschal-offering	יד איתן על משנה תורה, הלכות קרבן פסח	Yad Eitan on Mishneh Torah, Paschal Offering
יד איתן על משנה תורה, הלכות רוצח ושמירת נפש	yad-eitan-on-mishneh-torah/murderer-and-the-preservation-of-life	יד איתן על משנה תורה, הלכות רוצח ושמירת נפש	Yad Eitan on Mishneh Torah, Murderer and the Preservation of Life
יד איתן על משנה תורה, הלכות שאר אבות הטומאות	yad-eitan-on-mishneh-torah/other-sources-of-defilement	יד איתן על משנה תורה, הלכות שאר אבות הטומאות	Yad Eitan on Mishneh Torah, Other Sources of Defilement
יד איתן על משנה תורה, הלכות שבועות	yad-eitan-on-mishneh-torah/oaths	יד איתן על משנה תורה, הלכות שבועות	Yad Eitan on Mishneh Torah, Oaths
יד איתן על משנה תורה, הלכות שביתת יום טוב	yad-eitan-on-mishneh-torah/rest-on-a-holiday	יד איתן על משנה תורה, הלכות שביתת יום טוב	Yad Eitan on Mishneh Torah, Rest on a Holiday
יד איתן על משנה תורה, הלכות שביתת עשור	yad-eitan-on-mishneh-torah/rest-on-the-tenth-of-tishrei	יד איתן על משנה תורה, הלכות שביתת עשור	Yad Eitan on Mishneh Torah, Rest on the Tenth of Tishrei
יד איתן על משנה תורה, הלכות שבת	yad-eitan-on-mishneh-torah/sabbath	יד איתן על משנה תורה, הלכות שבת	Yad Eitan on Mishneh Torah, Sabbath
יד איתן על משנה תורה, הלכות שגגות	yad-eitan-on-mishneh-torah/offerings-for-unintentional-transgressions	יד איתן על משנה תורה, הלכות שגגות	Yad Eitan on Mishneh Torah, Offerings for Unintentional Transgressions
יד איתן על משנה תורה, הלכות שופר וסוכה ולולב	yad-eitan-on-mishneh-torah/shofar/sukkah-and-lulav	יד איתן על משנה תורה, הלכות שופר וסוכה ולולב	Yad Eitan on Mishneh Torah, Shofar, Sukkah and Lulav
יד איתן על משנה תורה, הלכות שחיטה	yad-eitan-on-mishneh-torah/ritual-slaughter	יד איתן על משנה תורה, הלכות שחיטה	Yad Eitan on Mishneh Torah, Ritual Slaughter
יד איתן על משנה תורה, הלכות שכירות	yad-eitan-on-mishneh-torah/hiring	יד איתן על משנה תורה, הלכות שכירות	Yad Eitan on Mishneh Torah, Hiring
יד איתן על משנה תורה, הלכות שמיטה ויובל	yad-eitan-on-mishneh-torah/sabbatical-year-and-the-jubilee	יד איתן על משנה תורה, הלכות שמיטה ויובל	Yad Eitan on Mishneh Torah, Sabbatical Year and the Jubilee
יד איתן על משנה תורה, הלכות תלמוד תורה	yad-eitan-on-mishneh-torah/torah-study	יד איתן על משנה תורה, הלכות תלמוד תורה	Yad Eitan on Mishneh Torah, Torah Study
יד איתן על משנה תורה, הלכות תמורה	yad-eitan-on-mishneh-torah/substitution	יד איתן על משנה תורה, הלכות תמורה	Yad Eitan on Mishneh Torah, Substitution
יד איתן על משנה תורה, הלכות תמידים ומוספין	yad-eitan-on-mishneh-torah/daily-offerings-and-additional-offerings	יד איתן על משנה תורה, הלכות תמידים ומוספין	Yad Eitan on Mishneh Torah, Daily Offerings and Additional Offerings
יד איתן על משנה תורה, הלכות תעניות	yad-eitan-on-mishneh-torah/fasts	יד איתן על משנה תורה, הלכות תעניות	Yad Eitan on Mishneh Torah, Fasts
יד איתן על משנה תורה, הלכות תפילה וברכת כהנים	yad-eitan-on-mishneh-torah/prayer-and-the-priestly-blessing	יד איתן על משנה תורה, הלכות תפילה וברכת כהנים	Yad Eitan on Mishneh Torah, Prayer and the Priestly Blessing
יד איתן על משנה תורה, הלכות תפילין ומזוזה וספר תורה	yad-eitan-on-mishneh-torah/tefillin/mezuzah-and-the-torah-scroll	יד איתן על משנה תורה, הלכות תפילין ומזוזה וספר תורה	Yad Eitan on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll
יד איתן על משנה תורה, הלכות תרומות	yad-eitan-on-mishneh-torah/heave-offerings	יד איתן על משנה תורה, הלכות תרומות	Yad Eitan on Mishneh Torah, Heave Offerings
יד איתן על משנה תורה, הלכות תשובה	yad-eitan-on-mishneh-torah/repentance	יד איתן על משנה תורה, הלכות תשובה	Yad Eitan on Mishneh Torah, Repentance
יד אפרים על שלחן ערוך אורח חיים	yad-ephraim-on-shulchan-arukh/orach-chayim	יד אפרים על שלחן ערוך אורח חיים	Yad Ephraim on Shulchan Arukh, Orach Chayim
יד אפרים על שלחן ערוך יורה דעה	yad-ephraim-on-shulchan-arukh/yoreh-deah	יד אפרים על שלחן ערוך יורה דעה	Yad Ephraim on Shulchan Arukh, Yoreh De'ah
יד דוד על משנה תורה, הלכות אבל	yad-david-on-mishneh-torah/mourning	יד דוד על משנה תורה, הלכות אבל	Yad David on Mishneh Torah, Mourning
יד דוד על משנה תורה, הלכות איסורי ביאה	yad-david-on-mishneh-torah/forbidden-intercourse	יד דוד על משנה תורה, הלכות איסורי ביאה	Yad David on Mishneh Torah, Forbidden Intercourse
יד דוד על משנה תורה, הלכות אישות	yad-david-on-mishneh-torah/marriage	יד דוד על משנה תורה, הלכות אישות	Yad David on Mishneh Torah, Marriage
יד דוד על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	yad-david-on-mishneh-torah/first-fruits-and-other-gifts-to-priests-outside-the-sanctuary	יד דוד על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	Yad David on Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary
יד דוד על משנה תורה, הלכות ברכות	yad-david-on-mishneh-torah/blessings	יד דוד על משנה תורה, הלכות ברכות	Yad David on Mishneh Torah, Blessings
יד דוד על משנה תורה, הלכות גזילה ואבידה	yad-david-on-mishneh-torah/robbery-and-lost-property	יד דוד על משנה תורה, הלכות גזילה ואבידה	Yad David on Mishneh Torah, Robbery and Lost Property
יד דוד על משנה תורה, הלכות דעות	yad-david-on-mishneh-torah/human-dispositions	יד דוד על משנה תורה, הלכות דעות	Yad David on Mishneh Torah, Human Dispositions
יד דוד על משנה תורה, הלכות חמץ ומצה	yad-david-on-mishneh-torah/leavened-and-unleavened-bread	יד דוד על משנה תורה, הלכות חמץ ומצה	Yad David on Mishneh Torah, Leavened and Unleavened Bread
יד דוד על משנה תורה, הלכות טומאת אוכלים	yad-david-on-mishneh-torah/defilement-of-foods	יד דוד על משנה תורה, הלכות טומאת אוכלים	Yad David on Mishneh Torah, Defilement of Foods
יד דוד על משנה תורה, הלכות טומאת צרעת	yad-david-on-mishneh-torah/defilement-by-leprosy	יד דוד על משנה תורה, הלכות טומאת צרעת	Yad David on Mishneh Torah, Defilement by Leprosy
יד דוד על משנה תורה, הלכות יבום וחליצה	yad-david-on-mishneh-torah/levirate-marriage-and-release	יד דוד על משנה תורה, הלכות יבום וחליצה	Yad David on Mishneh Torah, Levirate Marriage and Release
יד דוד על משנה תורה, הלכות יסודי התורה	yad-david-on-mishneh-torah/foundations-of-the-torah	יד דוד על משנה תורה, הלכות יסודי התורה	Yad David on Mishneh Torah, Foundations of the Torah
יד דוד על משנה תורה, הלכות כלאים	yad-david-on-mishneh-torah/diverse-species	יד דוד על משנה תורה, הלכות כלאים	Yad David on Mishneh Torah, Diverse Species
יד דוד על משנה תורה, הלכות כלים	yad-david-on-mishneh-torah/vessels	יד דוד על משנה תורה, הלכות כלים	Yad David on Mishneh Torah, Vessels
יד דוד על משנה תורה, הלכות מטמאי משכב ומושב	yad-david-on-mishneh-torah/those-who-defile-bed-or-seat	יד דוד על משנה תורה, הלכות מטמאי משכב ומושב	Yad David on Mishneh Torah, Those Who Defile Bed or Seat
יד דוד על משנה תורה, הלכות מעילה	yad-david-on-mishneh-torah/trespass	יד דוד על משנה תורה, הלכות מעילה	Yad David on Mishneh Torah, Trespass
יד דוד על משנה תורה, הלכות נדרים	yad-david-on-mishneh-torah/vows	יד דוד על משנה תורה, הלכות נדרים	Yad David on Mishneh Torah, Vows
יד דוד על משנה תורה, הלכות נערה בתולה	yad-david-on-mishneh-torah/virgin-maiden	יד דוד על משנה תורה, הלכות נערה בתולה	Yad David on Mishneh Torah, Virgin Maiden
יד דוד על משנה תורה, הלכות סוטה	yad-david-on-mishneh-torah/woman-suspected-of-infidelity	יד דוד על משנה תורה, הלכות סוטה	Yad David on Mishneh Torah, Woman Suspected of Infidelity
יד דוד על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	yad-david-on-mishneh-torah/the-sanhedrin-and-the-penalties-within-their-jurisdiction	יד דוד על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	Yad David on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction
יד דוד על משנה תורה, הלכות עבודה זרה וחוקות הגויים	yad-david-on-mishneh-torah/foreign-worship-and-customs-of-the-nations	יד דוד על משנה תורה, הלכות עבודה זרה וחוקות הגויים	Yad David on Mishneh Torah, Foreign Worship and Customs of the Nations
יד דוד על משנה תורה, הלכות עדות	yad-david-on-mishneh-torah/testimony	יד דוד על משנה תורה, הלכות עדות	Yad David on Mishneh Torah, Testimony
